engine_size,fuel_type,avg_speed,max_speed,avg_acceleration,trip_distance,trip_duration,speed_ratio,idle_ratio,speed_squared,fuel_used
1.916,1,88.7,158.9,4.36,79.43,51.89,1.79,0.0,7.87,7.56
1.668,1,48.0,80.4,5.49,57.41,86.4,1.68,0.169,2.3,4.47
2.612,1,96.0,216.0,0.51,51.28,29.66,2.25,0.0,9.22,6.15
0.931,1,64.3,132.5,1.13,31.32,32.97,2.06,0.114,4.13,0.9
1.066,1,47.7,102.6,0.89,7.33,9.93,2.15,0.071,2.28,0.27
2.271,1,71.1,114.2,3.77,1.8,1.85,1.61,0.179,5.06,0.22
2.148,1,88.6,187.3,1.16,72.29,45.69,2.11,0.0,7.85,5.91
1.113,1,11.1,18.8,2.12,39.39,253.08,1.69,0.159,0.12,2.09
1.071,1,60.3,95.3,4.51,52.53,69.14,1.58,0.244,3.64,2.62
1.746,1,70.6,104.9,2.18,63.33,60.45,1.49,0.11,4.98,4.84
2.609,1,87.2,207.8,2.87,26.19,21.46,2.38,0.16,7.6,3.13
2.122,1,73.5,151.7,2.56,14.18,12.91,2.06,0.103,5.4,1.23
2.758,1,41.1,54.1,0.64,52.02,92.53,1.32,0.179,1.69,3.87
0.958,1,46.9,72.0,4.22,48.86,67.65,1.54,0.076,2.2,1.88
2.974,1,50.9,105.0,1.27,39.36,42.4,2.06,0.0,2.59,3.8
2.921,1,44.6,51.5,0.67,31.65,41.73,1.15,0.0,1.99,2.27
2.464,1,51.3,77.2,5.45,10.17,16.39,1.5,0.274,2.63,1.15
2.754,1,64.3,145.2,5.91,23.78,30.63,2.26,0.276,4.13,3.38
1.648,1,40.6,75.4,1.35,44.74,77.41,1.86,0.146,1.65,2.53
2.634,1,49.6,75.6,1.93,16.38,18.4,1.52,0.0,2.46,1.4
1.395,1,97.0,182.4,2.41,46.86,28.1,1.88,0.0,9.41,3.9
2.178,1,54.0,89.8,5.97,70.54,94.97,1.66,0.175,2.92,7.94
2.165,1,28.1,46.5,0.72,38.57,96.48,1.65,0.146,0.79,2.94
2.921,1,91.9,194.0,3.43,69.73,43.95,2.11,0.0,8.45,14.99
1.075,1,81.5,121.1,5.32,75.58,54.22,1.49,0.0,6.64,4.5
2.958,1,53.5,123.5,3.74,30.65,35.85,2.31,0.041,2.86,3.68
2.476,1,44.8,81.3,3.21,46.61,83.2,1.81,0.25,2.01,5.14
1.697,1,84.5,183.4,3.65,76.53,54.35,2.17,0.0,7.14,5.94
2.679,1,49.5,113.1,5.41,5.93,9.64,2.28,0.254,2.45,0.8
1.923,1,66.4,159.2,0.61,38.67,43.46,2.4,0.196,4.41,2.38
2.324,1,22.1,33.6,2.47,64.55,182.15,1.52,0.038,0.49,6.5
2.906,1,10.8,27.0,4.22,66.45,386.63,2.5,0.045,0.12,12.13
2.423,1,85.1,181.8,1.29,60.52,54.81,2.14,0.221,7.24,5.85
2.485,1,86.1,168.7,0.99,39.52,25.86,1.96,0.0,7.41,3.5
1.696,1,15.9,25.3,1.11,64.85,336.2,1.59,0.272,0.25,4.62
2.901,1,57.0,86.6,0.92,40.55,55.37,1.52,0.229,3.25,3.66
0.91,1,16.6,27.6,2.12,19.36,72.81,1.66,0.039,0.28,1.01
2.844,1,46.5,110.1,2.27,38.64,50.51,2.37,0.013,2.16,4.26
2.954,1,64.3,102.9,4.06,10.71,13.43,1.6,0.256,4.13,1.35
1.789,1,62.7,123.8,0.89,54.93,53.67,1.97,0.021,3.93,3.16
2.61,1,82.4,154.4,3.36,12.29,11.52,1.87,0.223,6.79,1.45
1.893,1,35.6,45.8,3.96,5.29,11.36,1.29,0.215,1.27,0.51
0.8,1,56.0,65.3,2.02,56.85,56.73,1.17,0.0,3.14,1.63
0.808,1,32.2,68.8,2.24,9.05,18.21,2.14,0.074,1.04,0.33
2.654,1,38.2,84.2,5.41,35.27,75.06,2.2,0.262,1.46,5.95
2.921,1,18.0,37.1,3.22,31.62,128.2,2.06,0.178,0.32,6.03
0.81,1,25.0,52.5,4.17,77.32,237.62,2.1,0.219,0.62,4.03
2.346,1,36.8,45.9,4.8,51.89,78.18,1.25,0.0,1.35,6.78
2.905,1,55.0,93.8,3.02,17.5,20.7,1.71,0.078,3.02,1.91
0.915,1,79.1,133.1,5.02,68.18,52.03,1.68,0.006,6.26,3.58
1.839,1,89.2,125.1,4.23,49.01,34.54,1.4,0.046,7.96,4.14
2.234,1,76.5,118.0,4.05,32.22,31.76,1.54,0.204,5.85,3.34
2.758,1,35.9,58.0,0.82,9.81,18.98,1.62,0.136,1.29,0.97
2.638,1,11.3,18.4,2.36,2.53,12.93,1.63,0.0,0.13,0.36
1.884,1,46.4,85.5,3.77,1.78,2.61,1.84,0.118,2.15,0.16
1.942,1,71.0,109.1,4.76,62.06,60.87,1.54,0.138,5.04,7.17
1.076,1,11.5,25.0,4.94,10.5,56.58,2.17,0.032,0.13,0.74
1.445,1,79.6,145.3,2.41,30.37,20.62,1.83,0.0,6.34,1.8
2.222,1,97.7,223.3,0.63,71.99,57.1,2.29,0.226,9.55,8.49
1.808,1,45.8,69.8,0.86,19.03,25.51,1.52,0.023,2.1,1.01
2.444,1,52.6,62.1,5.77,75.48,111.29,1.18,0.226,2.77,9.92
1.998,1,96.6,116.5,2.51,18.81,11.66,1.21,0.0,9.33,1.99
2.169,1,80.3,153.3,1.31,65.08,59.23,1.91,0.179,6.45,5.2
2.283,1,33.4,52.9,5.55,23.95,48.83,1.58,0.119,1.12,3.78
2.357,1,15.6,20.4,0.54,50.84,219.75,1.31,0.11,0.24,4.62
2.907,1,57.7,83.0,3.25,54.69,53.35,1.44,0.0,3.33,5.85
2.575,1,51.4,95.9,2.88,4.47,5.13,1.87,0.0,2.64,0.44
1.26,1,14.5,33.1,5.9,63.66,349.53,2.28,0.246,0.21,6.1
2.913,1,27.7,67.4,5.97,57.23,172.38,2.43,0.281,0.77,11.83
1.371,1,49.3,95.2,0.9,50.17,84.91,1.93,0.281,2.43,1.94
2.251,0,91.7,222.0,5.78,42.2,38.34,2.42,0.28,8.41,5.42
1.494,0,52.9,111.4,1.86,51.61,72.19,2.11,0.189,2.8,1.53
1.978,0,79.4,142.8,0.57,1.71,1.39,1.8,0.07,6.3,0.08
1.574,0,67.1,94.7,2.27,68.0,76.88,1.41,0.209,4.5,2.07
1.814,0,12.6,22.3,4.14,10.36,51.53,1.77,0.043,0.16,0.75
2.403,0,99.4,115.6,4.69,30.37,20.1,1.16,0.088,9.88,3.43
2.402,0,95.6,182.4,2.46,63.22,40.69,1.91,0.025,9.14,5.79
1.73,0,69.1,99.3,1.55,73.54,60.72,1.44,0.0,4.77,2.51
1.565,0,13.5,15.5,1.46,69.47,321.49,1.15,0.04,0.18,3.5
1.998,0,49.3,94.3,3.34,60.94,77.23,1.91,0.04,2.43,2.95
2.373,0,95.2,223.7,2.81,62.65,44.94,2.35,0.121,9.06,6.0
1.546,0,63.2,86.0,2.32,68.55,65.31,1.36,0.004,3.99,2.04
1.383,0,94.7,171.4,2.75,65.06,54.33,1.81,0.241,8.97,3.32
2.132,0,79.4,160.1,1.33,70.19,62.03,2.02,0.145,6.3,3.34
1.81,0,13.4,17.1,4.71,1.0,4.96,1.28,0.097,0.18,0.08
1.366,0,97.6,138.3,2.17,25.01,15.61,1.42,0.015,9.53,1.05
2.175,0,97.0,137.2,4.15,59.61,48.83,1.41,0.245,9.41,5.48
1.664,0,39.3,82.4,4.99,15.35,25.44,2.1,0.079,1.54,1.08
2.268,0,98.6,212.6,2.66,47.66,35.69,2.16,0.187,9.72,3.8
1.953,0,73.8,98.5,4.79,47.12,52.72,1.33,0.273,5.45,2.65
1.618,0,64.1,97.1,4.43,60.96,54.28,1.51,0.0,4.11,2.68
1.911,0,43.2,103.9,5.05,56.08,97.92,2.41,0.205,1.87,3.25
2.405,0,72.5,153.7,5.24,22.65,24.43,2.12,0.233,5.26,1.81
1.714,0,40.2,99.3,5.21,56.39,106.34,2.47,0.209,1.62,3.06
2.437,0,54.7,89.3,1.4,63.11,87.72,1.63,0.211,2.99,2.93
1.33,0,85.5,95.4,4.37,77.65,60.97,1.12,0.106,7.31,2.96
2.146,0,83.5,155.7,5.82,5.08,4.21,1.86,0.133,6.97,0.42
2.335,0,26.1,57.9,3.54,32.33,71.78,2.22,0.0,0.68,2.78
1.489,0,37.9,57.1,5.29,54.14,111.28,1.51,0.23,1.44,2.86
2.05,0,61.5,139.4,5.48,1.96,2.37,2.27,0.193,3.78,0.11
1.959,0,35.9,54.9,2.44,50.08,89.31,1.53,0.063,1.29,2.96
1.785,0,16.2,35.6,2.07,35.19,161.97,2.2,0.195,0.26,2.05
1.368,0,43.7,105.9,4.03,54.05,90.25,2.42,0.178,1.91,1.92
1.802,0,77.6,96.4,2.03,22.83,19.7,1.24,0.104,6.02,1.11
1.381,0,56.7,76.6,5.84,9.95,11.6,1.35,0.092,3.21,0.44
2.145,0,48.0,76.1,2.69,21.88,27.42,1.59,0.003,2.3,1.07
1.622,0,35.9,72.5,5.83,48.69,76.37,2.02,0.0,1.29,2.92
2.442,0,36.8,45.2,3.79,50.27,100.34,1.23,0.183,1.35,3.73
1.318,0,96.9,140.6,4.22,56.82,42.4,1.45,0.17,9.39,3.11
1.625,0,63.8,147.5,5.71,9.37,8.61,2.31,0.0,4.07,0.54
2.184,0,89.5,123.8,3.73,56.39,46.88,1.38,0.194,8.01,3.54
1.318,0,62.5,90.9,2.98,76.65,80.91,1.45,0.091,3.91,2.54
1.526,0,70.5,174.0,1.06,1.66,1.58,2.47,0.106,4.97,0.05
2.198,0,92.3,157.6,1.92,35.32,28.97,1.71,0.207,8.52,2.37
2.007,0,65.2,129.9,1.83,57.41,49.96,1.99,0.0,4.25,2.28
2.353,0,76.5,85.6,1.87,17.94,14.57,1.12,0.034,5.85,0.93
1.375,0,51.3,109.1,3.84,54.16,59.58,2.13,0.0,2.63,2.21
2.306,0,82.5,185.8,5.63,44.0,32.0,2.25,0.0,6.81,3.91
2.191,0,76.4,139.8,0.88,30.32,32.39,1.83,0.265,5.84,1.48
1.946,0,34.2,55.3,5.42,53.65,121.77,1.62,0.227,1.17,3.98
2.056,0,32.4,67.6,2.85,35.96,81.55,2.09,0.183,1.05,2.55
1.377,0,84.2,127.1,2.94,2.73,2.04,1.51,0.046,7.09,0.1
1.367,0,54.2,130.0,1.08,61.39,75.08,2.4,0.095,2.94,1.74
1.612,0,24.4,32.3,0.89,15.67,47.48,1.32,0.188,0.6,0.64
2.277,0,71.7,90.0,2.09,25.47,21.85,1.26,0.025,5.14,1.42
1.943,0,42.1,67.2,5.06,63.35,95.15,1.6,0.051,1.77,3.9
2.443,0,39.4,62.9,3.28,75.35,153.55,1.6,0.253,1.55,5.24
1.771,0,59.8,107.9,1.57,68.85,85.55,1.8,0.193,3.58,2.68
2.331,0,77.4,132.7,3.86,13.67,13.11,1.71,0.192,5.99,0.9
2.133,0,30.7,38.8,1.41,1.16,2.86,1.26,0.207,0.94,0.06
1.918,0,24.5,29.8,0.61,14.09,46.43,1.22,0.257,0.6,0.56
1.725,0,19.5,27.5,3.36,49.01,154.22,1.41,0.022,0.38,2.79
1.769,0,31.1,43.8,5.78,49.69,112.97,1.41,0.151,0.97,3.36
1.815,0,58.7,121.8,4.36,14.56,17.12,2.07,0.131,3.45,0.73
2.345,0,66.8,123.3,1.13,48.85,42.06,1.85,0.0,4.46,2.12
1.471,0,72.3,100.4,2.66,71.76,59.68,1.39,0.002,5.23,2.78
1.803,0,11.6,25.6,0.88,38.47,234.87,2.21,0.153,0.13,2.09
2.126,0,32.8,36.5,4.48,43.32,104.45,1.11,0.241,1.08,3.38
2.312,0,53.7,84.2,4.85,36.65,40.61,1.57,0.0,2.88,2.59
2.359,0,52.0,62.7,2.63,64.48,100.51,1.21,0.26,2.7,3.1
1.38,0,89.0,146.4,3.48,77.48,48.75,1.64,0.0,7.92,3.24
1.389,0,43.8,97.5,2.88,79.78,128.91,2.23,0.152,1.92,2.59
1.564,0,41.5,67.3,0.88,30.2,49.43,1.62,0.117,1.72,0.91
2.088,0,73.8,82.0,1.7,53.27,49.46,1.11,0.124,5.45,2.25
2.265,0,79.6,148.7,0.87,61.55,55.3,1.87,0.161,6.34,3.26
2.202,0,82.3,150.2,1.27,54.02,47.66,1.83,0.174,6.77,2.9
1.504,0,27.5,64.5,4.62,72.75,203.07,2.35,0.218,0.76,4.25
2.085,0,90.0,171.9,3.98,13.36,10.13,1.91,0.121,8.1,1.29
1.625,0,28.2,43.4,1.83,17.98,42.56,1.54,0.101,0.8,0.85
1.908,0,26.9,32.5,4.33,31.24,91.34,1.21,0.237,0.72,2.09
2.255,0,34.5,71.4,1.95,75.19,159.3,2.07,0.179,1.19,4.57
1.623,0,27.2,56.4,1.7,48.03,109.37,2.07,0.031,0.74,2.21
2.278,0,80.0,173.2,1.53,7.98,7.48,2.17,0.2,6.4,0.43
1.819,0,12.8,18.7,0.69,70.46,337.45,1.46,0.021,0.16,3.49
1.347,0,70.0,108.7,5.44,71.16,64.82,1.55,0.059,4.9,3.67
2.495,0,84.3,192.4,1.87,46.56,30.94,2.28,0.0,7.11,2.7
2.499,0,39.4,84.6,4.94,68.78,146.51,2.15,0.285,1.55,6.21
1.348,0,47.0,60.3,0.62,29.47,48.6,1.28,0.226,2.21,0.69
1.675,0,68.9,98.2,0.58,61.38,64.78,1.43,0.175,4.75,1.88
1.347,0,85.3,167.8,3.6,50.34,47.17,1.97,0.249,7.28,2.11
1.997,0,99.2,214.2,2.93,56.88,37.66,2.16,0.086,9.84,4.28
2.016,0,93.5,224.5,2.38,42.69,27.55,2.4,0.006,8.74,3.72
2.477,0,68.5,152.5,4.43,47.86,38.85,2.23,0.0,4.69,3.35
2.11,0,71.0,115.2,5.68,14.22,13.82,1.62,0.13,5.04,1.12
2.137,0,68.4,101.6,1.36,51.24,53.92,1.49,0.166,4.68,1.95
2.146,0,51.0,103.8,5.11,14.41,15.42,2.04,0.0,2.6,0.99
2.032,0,73.0,166.0,4.92,76.91,73.83,2.27,0.144,5.33,5.5
1.782,0,23.8,45.3,2.02,73.78,221.64,1.9,0.161,0.57,3.76
1.726,0,14.7,16.8,2.83,7.68,37.72,1.14,0.169,0.22,0.49
2.359,0,69.3,96.7,5.25,71.0,61.37,1.4,0.0,4.8,5.1
1.644,0,82.2,205.2,0.67,71.89,63.56,2.5,0.174,6.76,2.94
1.858,0,86.3,102.5,2.34,6.29,6.07,1.19,0.28,7.45,0.31
2.323,0,94.4,115.1,2.62,6.61,4.22,1.22,0.004,8.91,0.52
1.863,0,34.2,42.5,1.42,12.63,30.72,1.24,0.279,1.17,0.62
2.461,0,49.6,73.9,4.89,26.77,33.99,1.49,0.047,2.46,1.73
1.456,0,33.1,52.9,4.21,5.94,10.82,1.6,0.005,1.1,0.32
1.476,0,40.8,94.3,1.35,7.54,12.67,2.31,0.125,1.66,0.22
1.976,0,82.3,106.3,3.69,40.94,29.01,1.29,0.0,6.77,2.42
1.628,0,53.9,65.5,3.03,25.21,36.8,1.22,0.237,2.91,0.84
1.802,0,51.3,108.5,3.66,53.71,80.94,2.12,0.224,2.63,2.77
1.677,0,58.4,132.9,5.94,71.27,79.5,2.28,0.079,3.41,3.62
1.887,0,76.7,137.3,3.16,67.22,56.83,1.79,0.075,5.88,3.95
1.788,0,39.5,68.6,4.69,10.95,16.6,1.74,0.0,1.56,0.79
1.511,0,61.1,116.8,3.19,51.93,51.76,1.91,0.015,3.73,1.96
1.747,0,69.6,90.3,3.64,15.64,14.01,1.3,0.038,4.84,0.63
1.519,0,84.3,126.4,5.6,77.62,65.5,1.5,0.157,7.11,3.8
1.749,0,81.8,132.1,0.98,44.99,43.64,1.61,0.244,6.69,1.84
1.51,0,70.5,99.3,1.7,70.05,61.1,1.41,0.024,4.97,2.35
1.301,0,88.4,195.3,3.95,60.27,39.93,2.21,0.0,7.81,2.49
1.721,0,18.4,32.8,5.56,4.16,14.19,1.78,0.044,0.34,0.31
1.586,0,91.8,161.1,3.06,61.09,39.02,1.75,0.0,8.43,3.83
1.816,0,63.7,159.2,4.73,32.43,40.13,2.5,0.239,4.06,1.63
1.337,0,28.4,44.8,3.31,49.6,142.02,1.58,0.262,0.81,2.09
1.902,0,14.5,16.7,3.53,35.62,194.5,1.15,0.242,0.21,2.29
1.33,0,50.4,72.2,0.77,58.24,66.27,1.43,0.0,2.54,1.41
1.637,0,25.6,41.8,4.91,31.98,95.59,1.63,0.216,0.66,1.76
2.227,0,31.3,64.1,3.61,74.4,155.98,2.05,0.086,0.98,5.0
1.323,0,84.4,154.8,4.76,19.52,14.88,1.83,0.067,7.12,0.77
2.454,0,70.1,168.7,1.96,49.31,52.3,2.41,0.193,4.91,3.04
2.318,0,95.2,222.7,4.56,22.92,15.03,2.34,0.039,9.06,2.84
1.312,0,74.4,155.4,3.92,79.22,67.46,2.09,0.053,5.54,3.17
1.395,0,49.9,73.1,2.39,66.93,110.07,1.46,0.269,2.49,1.88
1.747,0,93.6,111.1,1.01,13.86,10.64,1.19,0.165,8.76,0.66
2.462,0,50.2,90.5,1.86,38.21,56.22,1.8,0.188,2.52,2.1
2.205,0,62.0,146.7,5.0,60.81,54.6,2.37,0.0,3.84,3.59
1.555,0,69.7,116.8,2.71,70.88,82.24,1.68,0.258,4.86,2.79
1.677,0,72.2,106.9,1.55,15.59,13.88,1.48,0.067,5.21,0.6
2.297,0,20.8,44.3,3.42,23.75,78.54,2.13,0.128,0.43,1.73
2.015,0,49.0,65.2,1.14,44.19,73.11,1.33,0.26,2.4,1.59
2.18,0,69.3,166.6,5.02,45.76,48.67,2.4,0.186,4.8,3.34
1.779,0,39.4,43.9,5.05,64.28,93.21,1.11,0.0,1.55,4.17
1.857,0,20.7,51.2,1.68,6.31,21.9,2.47,0.165,0.43,0.35
1.339,0,69.3,127.9,1.07,14.63,15.0,1.85,0.156,4.8,0.36
2.426,0,83.7,207.3,1.93,77.61,62.07,2.48,0.104,7.01,4.77
1.36,0,14.7,30.4,3.02,18.9,93.11,2.07,0.171,0.22,0.91
1.993,0,42.3,95.3,5.01,38.71,59.05,2.25,0.07,1.79,2.25
2.267,0,39.5,55.0,0.97,37.87,65.64,1.39,0.124,1.56,2.18
1.565,0,44.3,98.9,5.03,31.38,48.01,2.23,0.115,1.96,1.41
2.419,0,20.7,49.8,4.26,42.99,114.18,2.41,0.0,0.43,3.81
1.789,0,24.5,49.5,5.84,45.41,139.83,2.02,0.205,0.6,3.0
1.801,0,20.5,40.1,5.66,53.28,146.34,1.96,0.0,0.42,3.74
1.961,0,46.3,105.0,4.98,49.33,69.47,2.27,0.08,2.14,2.74
1.427,0,41.9,70.3,4.22,52.99,70.95,1.68,0.0,1.76,1.98
1.518,0,24.1,54.4,0.73,34.12,83.6,2.26,0.0,0.58,1.37
1.968,0,30.8,55.5,4.52,76.69,150.92,1.8,0.01,0.95,5.95
2.421,0,92.5,184.0,3.96,32.85,27.19,1.99,0.216,8.56,3.54
2.113,0,48.6,103.2,5.03,12.57,20.43,2.12,0.24,2.36,0.8
2.314,0,48.8,79.6,5.53,20.84,33.88,1.63,0.244,2.38,1.44
1.917,0,37.8,71.9,2.29,4.1,6.74,1.9,0.034,1.43,0.2
2.474,0,96.9,160.2,4.51,28.32,21.67,1.65,0.191,9.39,3.41
2.436,0,46.0,101.0,1.96,79.24,94.35,2.2,0.0,2.12,4.35
2.091,0,71.9,91.2,5.66,15.31,15.48,1.27,0.175,5.17,1.04
1.669,0,59.2,99.7,1.38,14.5,16.3,1.68,0.098,3.5,0.5
2.378,0,17.6,29.0,1.05,2.31,9.69,1.65,0.187,0.31,0.16
1.496,0,31.0,35.1,5.09,78.0,146.1,1.13,0.0,0.96,3.93
2.342,0,93.4,157.6,0.78,4.11,3.13,1.69,0.156,8.72,0.28
1.334,0,62.5,69.7,4.83,25.21,22.27,1.12,0.0,3.91,0.93
1.777,0,97.6,181.7,2.01,57.05,36.33,1.86,0.035,9.53,3.95
1.75,0,59.5,69.7,2.84,66.76,87.71,1.17,0.232,3.54,2.45
1.571,0,83.6,200.9,1.02,36.55,28.03,2.4,0.064,6.99,1.46
1.4,0,29.0,62.5,0.78,39.91,92.57,2.16,0.108,0.84,1.3
1.773,0,57.7,76.5,3.65,64.63,86.03,1.33,0.219,3.33,2.6
1.479,0,34.1,54.7,2.75,54.7,89.35,1.6,0.0,1.16,2.14
1.77,0,72.7,99.7,4.03,21.53,23.86,1.37,0.255,5.29,1.26
1.657,0,30.7,51.4,1.82,54.12,138.88,1.67,0.238,0.94,2.51
2.289,0,45.7,60.3,4.56,29.48,47.82,1.32,0.191,2.09,1.72
1.397,0,99.3,130.9,5.94,78.21,61.29,1.32,0.229,9.86,5.67
1.993,0,87.9,132.3,3.07,49.93,37.68,1.51,0.095,7.73,2.72
1.696,0,60.8,139.3,1.61,74.82,91.89,2.29,0.196,3.7,2.9
1.967,0,80.2,90.0,5.0,4.17,4.2,1.12,0.257,6.43,0.3
1.653,0,28.9,62.8,1.89,69.38,137.04,2.17,0.0,0.84,2.94
2.475,0,70.6,161.4,2.28,54.44,55.39,2.29,0.165,4.98,3.73
2.119,0,61.8,105.1,2.02,61.72,60.71,1.7,0.013,3.82,2.91
1.58,0,66.3,142.3,1.7,5.74,5.02,2.15,0.0,4.4,0.2
2.319,0,14.0,29.8,2.38,38.8,226.89,2.13,0.267,0.2,3.03
1.858,0,11.2,13.6,1.92,3.2,20.84,1.21,0.177,0.13,0.18
1.958,0,25.7,38.9,4.15,77.26,166.88,1.51,0.0,0.66,5.64
1.992,0,60.8,109.5,0.88,8.1,9.6,1.8,0.167,3.7,0.29
2.401,0,46.6,60.6,4.43,24.17,36.18,1.3,0.14,2.17,1.62
2.38,0,81.3,166.4,4.24,75.73,58.57,2.05,0.046,6.61,5.17
1.626,0,29.6,60.0,3.99,47.88,88.14,2.03,0.0,0.88,2.87
1.688,0,69.9,131.4,2.39,11.63,9.46,1.88,0.0,4.89,0.48
2.402,0,68.5,85.3,2.71,58.59,66.2,1.25,0.225,4.69,2.84
1.3,0,74.1,118.5,1.9,2.02,1.91,1.6,0.144,5.49,0.07
2.449,0,60.9,110.9,0.97,44.36,47.64,1.82,0.083,3.71,2.09
1.766,0,31.6,39.0,2.23,8.63,16.2,1.23,0.0,1.0,0.46
1.833,0,57.9,134.5,5.98,47.03,63.66,2.32,0.234,3.35,2.72
1.667,0,46.2,94.3,4.25,25.9,32.51,2.04,0.0,2.13,1.23
1.454,0,62.1,128.6,4.35,60.52,78.15,2.07,0.252,3.86,2.47
2.176,0,65.7,89.4,0.64,23.48,24.05,1.36,0.108,4.32,0.91
2.32,0,27.7,35.3,5.8,9.54,23.54,1.27,0.122,0.77,0.87
1.95,0,17.7,20.9,1.08,47.26,187.79,1.18,0.147,0.31,2.39
2.065,0,83.8,97.1,3.24,55.46,40.75,1.16,0.026,7.02,3.0
2.036,0,90.8,202.8,3.71,58.69,41.98,2.23,0.076,8.24,5.43
1.859,0,27.1,56.4,3.56,29.33,88.03,2.08,0.262,0.73,1.62
1.679,0,15.1,32.8,4.36,27.18,133.69,2.17,0.192,0.23,1.92
2.208,0,50.9,85.4,5.64,20.82,23.57,1.68,0.0,2.59,1.43
2.463,0,44.0,52.2,2.37,40.97,54.8,1.19,0.0,1.94,2.23
2.497,0,50.7,80.9,2.7,10.1,16.04,1.6,0.255,2.57,0.56
1.765,0,69.4,119.3,4.07,5.85,6.61,1.72,0.235,4.82,0.3
2.079,0,95.9,125.8,3.13,48.54,36.17,1.31,0.16,9.2,3.8
1.706,0,21.4,35.3,1.39,59.01,166.18,1.65,0.004,0.46,2.28
1.963,0,63.6,147.6,3.67,28.29,34.74,2.32,0.232,4.04,1.5
1.395,0,60.9,144.4,2.68,24.41,23.37,2.37,0.0,3.71,0.75
1.819,0,63.6,77.1,5.67,60.66,68.29,1.21,0.162,4.04,3.5
1.396,0,52.9,104.9,5.06,62.89,74.08,1.98,0.037,2.8,2.88
1.449,0,88.8,218.4,1.47,58.04,36.08,2.46,0.0,7.89,2.04
1.92,0,62.3,150.2,4.2,39.02,49.04,2.41,0.234,3.88,2.35
1.326,0,98.4,120.1,4.98,23.15,13.64,1.22,0.0,9.68,1.38
2.073,0,44.3,52.1,3.8,72.29,106.88,1.18,0.084,1.96,3.46
1.831,0,14.4,32.4,5.04,47.45,212.84,2.25,0.071,0.21,4.31
1.966,0,84.3,167.3,4.81,48.29,38.05,1.98,0.097,7.11,3.6
1.949,0,64.5,90.9,3.94,46.16,42.61,1.41,0.0,4.16,2.06
2.025,0,78.7,144.2,1.75,53.66,38.46,1.83,0.0,6.19,2.62
1.496,0,26.6,36.8,2.63,5.04,12.49,1.38,0.09,0.71,0.22
1.88,0,44.5,101.2,1.3,40.95,51.4,2.27,0.0,1.98,1.4
1.989,0,60.9,141.9,3.57,76.82,69.96,2.33,0.0,3.71,3.66
1.353,0,26.7,49.6,4.05,4.6,14.19,1.86,0.272,0.71,0.23
1.656,0,16.9,22.6,1.2,10.74,44.2,1.34,0.137,0.29,0.48
1.73,0,99.1,204.0,5.72,12.26,8.1,2.06,0.084,9.82,1.12
1.392,0,10.4,21.2,4.03,33.45,220.93,2.04,0.127,0.11,1.89
1.329,0,40.2,54.2,1.04,76.58,137.12,1.35,0.166,1.62,1.96
1.678,0,45.4,65.0,1.03,15.14,25.99,1.43,0.23,2.06,0.49
1.956,0,52.8,126.3,0.9,23.17,28.3,2.39,0.07,2.79,0.94
2.491,0,31.7,73.7,5.07,18.75,39.03,2.32,0.091,1.0,1.8
2.474,0,26.3,58.4,2.34,58.74,148.75,2.22,0.099,0.69,4.41
2.299,0,82.4,190.6,0.83,55.67,39.32,2.31,0.0,6.79,2.82
1.958,0,46.2,84.4,5.98,11.68,18.77,1.83,0.192,2.13,0.71
1.46,0,24.3,59.0,5.34,72.66,250.41,2.43,0.284,0.59,4.02
1.727,0,70.2,124.8,2.8,29.27,29.94,1.78,0.164,4.93,1.42
1.494,0,52.5,98.4,3.64,17.6,25.57,1.87,0.213,2.76,0.6
1.726,0,80.2,151.5,1.94,55.9,49.5,1.89,0.155,6.43,2.6
2.182,0,64.9,115.7,1.23,21.65,22.21,1.78,0.099,4.21,0.94
1.916,0,35.9,39.8,3.23,23.56,49.9,1.11,0.211,1.29,1.2
2.002,0,94.7,127.3,3.09,8.22,6.32,1.34,0.176,8.97,0.64
1.789,0,56.9,134.0,1.58,2.78,3.9,2.36,0.248,3.24,0.11
2.369,0,63.7,142.3,2.86,60.24,76.97,2.23,0.263,4.06,3.55
1.517,0,34.2,47.1,1.86,25.21,52.08,1.38,0.151,1.17,1.03
1.812,0,65.4,79.4,0.98,14.57,15.49,1.21,0.137,4.28,0.44
1.64,0,46.0,102.9,0.58,52.3,84.21,2.24,0.19,2.12,1.69
2.419,0,11.8,15.5,5.37,37.22,223.75,1.31,0.154,0.14,4.14
2.115,0,93.9,234.3,4.46,23.69,20.28,2.5,0.254,8.82,2.15
1.577,0,90.8,132.4,1.71,11.91,10.46,1.46,0.248,8.24,0.62
2.11,0,31.5,68.1,4.68,25.7,54.11,2.16,0.095,0.99,1.9
2.472,0,68.1,164.0,2.17,62.77,70.95,2.41,0.221,4.64,3.71
2.459,0,45.4,58.2,4.19,58.62,92.0,1.28,0.158,2.06,3.48
1.905,0,38.1,64.7,4.05,59.87,95.8,1.7,0.016,1.45,3.82
1.623,0,27.9,61.3,5.5,30.25,82.99,2.2,0.216,0.78,2.18
2.315,0,26.5,64.6,2.57,27.8,58.61,2.44,0.0,0.7,1.99
1.431,0,32.4,50.0,4.95,70.16,136.58,1.54,0.049,1.05,4.01
2.329,0,78.8,102.9,4.3,75.66,71.51,1.31,0.194,6.21,5.23
